iter	Passed	Remaining
0	155	155416
1	159	79792
2	164	54614
3	168	41873
4	172	34346
5	177	29419
6	182	25854
7	186	23184
8	191	21131
9	196	19487
10	201	18115
11	206	16995
12	211	16024
13	215	15209
14	220	14509
15	225	13878
16	230	13352
17	235	12863
18	240	12415
19	244	11998
20	249	11637
21	254	11298
22	258	10993
23	263	10711
24	267	10450
25	271	10153
26	275	9939
27	280	9724
28	284	9518
29	287	9304
30	292	9139
31	295	8928
32	299	8780
33	303	8635
34	307	8467
35	311	8342
36	315	8216
37	319	8084
38	323	7979
39	327	7867
40	330	7738
41	335	7661
42	340	7582
43	345	7505
44	351	7452
45	355	7376
46	360	7304
47	365	7251
48	370	7191
49	375	7129
50	380	7078
51	385	7025
52	390	6974
53	395	6937
54	400	6889
55	406	6845
56	412	6819
57	416	6762
58	420	6702
59	426	6681
60	430	6627
61	434	6572
62	441	6571
63	445	6512
64	450	6482
65	458	6485
66	460	6418
67	465	6381
68	471	6362
69	475	6322
70	481	6295
71	487	6284
72	491	6241
73	496	6213
74	502	6192
75	506	6151
76	511	6132
77	516	6103
78	520	6062
79	525	6038
80	530	6014
81	533	5977
82	537	5932
83	543	5922
84	547	5896
85	551	5865
86	557	5855
87	562	5826
88	566	5796
89	573	5800
90	576	5762
91	581	5740
92	587	5733
93	592	5706
94	596	5679
95	602	5674
96	608	5660
97	611	5631
98	616	5614
99	621	5591
100	626	5576
101	634	5582
102	636	5547
103	641	5528
104	648	5525
105	651	5494
106	656	5479
107	663	5479
108	666	5448
109	671	5433
110	678	5437
111	682	5409
112	687	5392
113	695	5406
114	698	5378
115	703	5362
116	708	5348
117	711	5320
118	718	5319
119	725	5321
120	730	5307
121	734	5289
122	740	5280
123	746	5270
124	752	5266
125	757	5255
126	761	5235
127	766	5220
128	773	5222
129	781	5231
130	786	5219
131	791	5204
132	797	5197
133	802	5184
134	807	5174
135	812	5163
136	817	5151
137	822	5139
138	828	5134
139	834	5125
140	840	5122
141	844	5102
142	849	5088
143	854	5079
144	857	5054
145	862	5042
146	867	5032
147	871	5018
148	876	5006
149	880	4989
150	885	4981
151	889	4960
152	893	4947
153	898	4937
154	902	4918
155	907	4908
156	910	4887
157	915	4876
158	919	4864
159	922	4843
160	926	4827
161	931	4818
162	934	4798
163	939	4788
164	944	4779
165	949	4769
166	954	4760
167	958	4745
168	962	4733
169	967	4721
170	971	4710
171	975	4694
172	979	4681
173	984	4673
174	987	4653
175	991	4642
176	996	4635
177	1000	4618
178	1004	4607
179	1008	4595
180	1012	4580
181	1017	4572
182	1019	4551
183	1024	4542
184	1028	4532
185	1032	4516
186	1036	4507
187	1039	4490
188	1044	4480
189	1048	4470
190	1051	4452
191	1055	4443
192	1059	4430
193	1063	4419
194	1068	4410
195	1070	4392
196	1075	4385
197	1080	4376
198	1083	4361
199	1088	4353
200	1093	4345
201	1096	4330
202	1100	4320
203	1105	4312
204	1108	4298
205	1112	4289
206	1116	4276
207	1120	4268
208	1125	4259
209	1128	4245
210	1133	4238
211	1136	4224
212	1141	4216
213	1145	4207
214	1148	4194
215	1153	4186
216	1156	4172
217	1160	4162
218	1164	4154
219	1167	4138
220	1171	4129
221	1176	4123
222	1179	4108
223	1183	4100
224	1187	4089
225	1191	4079
226	1195	4071
227	1198	4056
228	1202	4048
229	1207	4041
230	1210	4029
231	1214	4021
232	1217	4009
233	1222	4001
234	1226	3993
235	1229	3979
236	1234	3974
237	1238	3964
238	1242	3956
239	1247	3948
240	1249	3933
241	1254	3930
242	1258	3919
243	1261	3908
244	1266	3902
245	1268	3889
246	1273	3881
247	1277	3873
248	1279	3860
249	1284	3854
250	1288	3844
251	1293	3838
252	1298	3833
253	1301	3821
254	1306	3817
255	1309	3805
256	1314	3800
257	1319	3794
258	1322	3782
259	1328	3779
260	1332	3773
261	1336	3764
262	1341	3760
263	1345	3750
264	1350	3745
265	1353	3735
266	1359	3731
267	1364	3725
268	1368	3717
269	1374	3716
270	1382	3717
271	1386	3712
272	1392	3708
273	1398	3705
274	1402	3698
275	1407	3692
276	1411	3684
277	1417	3681
278	1423	3678
279	1428	3673
280	1433	3668
281	1436	3658
282	1443	3657
283	1448	3651
284	1452	3642
285	1458	3641
286	1464	3638
287	1468	3629
288	1474	3627
289	1477	3618
290	1482	3613
291	1488	3609
292	1492	3600
293	1496	3594
294	1499	3584
295	1505	3580
296	1509	3571
297	1512	3564
298	1518	3560
299	1521	3549
300	1525	3542
301	1529	3534
302	1533	3526
303	1537	3520
304	1540	3510
305	1545	3505
306	1550	3500
307	1555	3494
308	1560	3490
309	1564	3481
310	1569	3476
311	1574	3471
312	1578	3465
313	1583	3458
314	1589	3455
315	1594	3451
316	1600	3447
317	1605	3443
318	1610	3437
319	1615	3432
320	1622	3432
321	1628	3428
322	1633	3423
323	1639	3420
324	1644	3416
325	1648	3407
326	1653	3403
327	1659	3400
328	1662	3391
329	1669	3390
330	1674	3385
331	1680	3381
332	1686	3377
333	1689	3368
334	1695	3364
335	1700	3360
336	1704	3353
337	1710	3350
338	1716	3347
339	1723	3345
340	1729	3341
341	1735	3339
342	1745	3343
343	1750	3338
344	1758	3338
345	1764	3335
346	1768	3328
347	1775	3326
348	1781	3322
349	1788	3321
350	1791	3312
351	1796	3307
352	1802	3304
353	1807	3297
354	1812	3293
355	1817	3286
356	1821	3281
357	1827	3278
358	1830	3269
359	1836	3264
360	1840	3257
361	1846	3253
362	1850	3246
363	1854	3240
364	1859	3235
365	1862	3225
366	1866	3219
367	1871	3214
368	1874	3204
369	1878	3198
370	1882	3192
371	1886	3185
372	1891	3179
373	1894	3170
374	1899	3165
375	1903	3159
376	1908	3153
377	1913	3147
378	1916	3139
379	1921	3134
380	1924	3126
381	1928	3120
382	1934	3116
383	1939	3111
384	1944	3105
385	1949	3100
386	1953	3094
387	1957	3088
388	1962	3082
389	1967	3077
390	1972	3072
391	1977	3067
392	1981	3061
393	1986	3055
394	1991	3049
395	1995	3043
396	1998	3035
397	2002	3029
398	2007	3023
399	2010	3016
400	2015	3010
401	2018	3002
402	2023	2997
403	2027	2991
404	2030	2983
405	2034	2977
406	2039	2971
407	2041	2962
408	2046	2956
409	2050	2951
410	2053	2943
411	2057	2937
412	2062	2931
413	2067	2926
414	2069	2917
415	2074	2911
416	2078	2906
417	2081	2898
418	2085	2892
419	2089	2885
420	2093	2879
421	2098	2874
422	2100	2865
423	2105	2860
424	2110	2855
425	2113	2847
426	2118	2842
427	2122	2836
428	2127	2831
429	2132	2826
430	2135	2819
431	2141	2815
432	2144	2807
433	2149	2802
434	2153	2797
435	2156	2790
436	2161	2785
437	2164	2777
438	2170	2773
439	2174	2768
440	2178	2761
441	2183	2756
442	2188	2751
443	2191	2744
444	2195	2738
445	2200	2733
446	2204	2726
447	2208	2721
448	2211	2713
449	2216	2709
450	2220	2703
451	2224	2696
452	2229	2691
453	2231	2684
454	2236	2679
455	2241	2673
456	2244	2667
457	2249	2662
458	2251	2654
459	2256	2649
460	2261	2643
461	2263	2635
462	2268	2630
463	2272	2625
464	2276	2619
465	2280	2613
466	2285	2608
467	2289	2602
468	2294	2598
469	2298	2592
470	2303	2587
471	2306	2580
472	2311	2575
473	2315	2569
474	2319	2563
475	2323	2558
476	2326	2551
477	2331	2545
478	2335	2540
479	2338	2533
480	2342	2527
481	2347	2522
482	2350	2516
483	2355	2510
484	2358	2504
485	2363	2499
486	2367	2493
487	2369	2486
488	2374	2481
489	2378	2475
490	2381	2468
491	2386	2463
492	2389	2456
493	2394	2452
494	2398	2446
495	2401	2439
496	2406	2435
497	2409	2428
498	2414	2423
499	2418	2418
500	2422	2412
501	2427	2408
502	2430	2401
503	2435	2396
504	2440	2391
505	2444	2386
506	2449	2381
507	2452	2375
508	2457	2370
509	2462	2365
510	2465	2358
511	2470	2354
512	2474	2348
513	2478	2343
514	2484	2339
515	2489	2335
516	2493	2329
517	2498	2324
518	2503	2320
519	2506	2313
520	2511	2309
521	2517	2305
522	2520	2298
523	2525	2294
524	2531	2290
525	2533	2283
526	2538	2278
527	2543	2273
528	2547	2268
529	2552	2263
530	2557	2258
531	2561	2253
532	2566	2249
533	2572	2244
534	2576	2239
535	2580	2234
536	2585	2229
537	2589	2223
538	2594	2218
539	2599	2214
540	2604	2209
541	2608	2204
542	2612	2199
543	2617	2194
544	2621	2188
545	2626	2183
546	2631	2179
547	2635	2173
548	2639	2168
549	2645	2164
550	2649	2158
551	2653	2153
552	2658	2149
553	2661	2142
554	2665	2137
555	2670	2132
556	2675	2127
557	2679	2122
558	2684	2117
559	2687	2111
560	2692	2106
561	2695	2100
562	2700	2096
563	2706	2091
564	2709	2086
565	2717	2084
566	2723	2080
567	2728	2075
568	2732	2069
569	2740	2067
570	2748	2064
571	2754	2061
572	2759	2056
573	2767	2053
574	2775	2051
575	2783	2049
576	2788	2044
577	2793	2039
578	2799	2035
579	2804	2031
580	2811	2027
581	2814	2021
582	2820	2017
583	2826	2013
584	2830	2007
585	2835	2003
586	2841	1999
