iter	Passed	Remaining
0	3	395
1	8	410
2	13	447
3	16	384
4	21	407
5	26	409
6	29	398
7	34	393
8	36	369
9	41	369
10	45	370
11	47	349
12	51	345
13	56	345
14	59	335
15	64	336
16	66	325
17	71	323
18	75	323
19	78	313
20	82	310
21	86	307
22	90	302
23	94	299
24	96	290
25	100	287
26	105	284
27	107	275
28	111	272
29	116	271
30	118	262
31	122	260
32	126	256
33	128	249
34	133	248
35	136	243
36	140	238
37	144	236
38	147	230
39	151	227
40	156	224
41	156	216
42	160	212
43	165	210
44	167	204
45	171	201
46	176	199
47	180	195
48	184	191
49	187	187
50	191	184
51	196	181
52	197	175
53	201	171
54	204	167
55	207	162
56	211	159
57	215	156
58	217	151
59	222	148
60	226	144
61	229	140
62	234	137
63	237	133
64	240	129
65	245	126
66	248	122
67	253	119
68	256	115
69	260	111
70	264	108
71	267	103
72	270	100
73	274	96
74	277	92
75	281	88
76	285	85
77	287	81
78	292	77
79	296	74
80	298	69
81	302	66
82	306	62
83	310	59
84	315	55
85	317	51
86	322	48
87	326	44
88	328	40
89	333	37
90	336	33
91	339	29
92	344	25
93	347	22
94	351	18
95	355	14
96	357	11
97	361	7
98	366	3
99	368	0
